Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,344247
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,247787
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,237168
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,305309
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1092,398230
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,126548
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,464601
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,43362
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,223893
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,1256,469026
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,209734
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,269911
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,102601
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,353982
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,283185
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,155752
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,176991
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,203539
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,914,303982
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,203539
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,123893
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,316814
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,103663
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,358407
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,73442
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,102212
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,210176
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,318584
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,149619
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,252654
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,914,282300
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,380530
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,190707
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,60176
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,117256
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,171681
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,252212
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,159292
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,125663
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,271681
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,192920
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,277256
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,245132
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,70796
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,181415
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,138938
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,58407
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,207079
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,168141
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,181415
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,72256
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,206194
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,172566
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,267256
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,255752
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,336283
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,64601
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,361946
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,120353
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,408849
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,63716
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,159292
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,155752
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,280530
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,371681
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,168141
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,346017
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,91150
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1092,345132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,271681
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,254867
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,271681
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,104424
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,157079
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,138495
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,389380
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,349557
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,194690
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,446902
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,189380
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,215044
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,259292
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,185840
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,230088
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,173451
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,274336
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,143362
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,258407
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,180088
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,162831
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,79646
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,105309
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,379203
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,225663
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,216814
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,36283
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,162831
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,254867
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,70796
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,409734
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,57522
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,119469
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,318584
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,260176
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,343362
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,208849
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,84070
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,150442
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,353097
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,231858
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,172566
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,194690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,142477
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,350442
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,55752
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,230088
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,252212
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,211061
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,460176
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,300884
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,171681
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,221238
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,423008
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,265442
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,292035
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,393805
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,347787
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,184955
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,256637
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,337168
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,185840
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,130088
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,168141
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,357522
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,218584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,249557
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,57079
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,184955
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,249557
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,336283
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,325221
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,252212
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,157876
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,122123
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,331858
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,128938
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,197345
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,353097
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,1252,451327
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,219469
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,448672
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,129203
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,398230
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,394690
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,365486
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,469026
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,154867
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,227876
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,391150
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,321238
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,147787
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,409734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,138495
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,152212
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,362831
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,368141
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,230088
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,291238
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,286902
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,218584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,117699
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,371681
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,428318
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,238938
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,123893
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,190265
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,145132
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,350008
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,196902
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,67256
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,205309
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,365486
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,201769
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,60176
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,377876
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,358407
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,260176
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,191938
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,273,84070
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,156637
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,377433
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,300884
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,254123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,352212
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,172123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,170796
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,128318
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,77876
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,233185
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,292035
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,323008
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,353982
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,208584
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,152212
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,206637
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,101548
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,255752
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,162389
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,214159
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,207044
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,295575
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,272123
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,35398
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,247787
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,206194
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,238053
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,269026
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,220353
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,169911
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,528318
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,154867
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,65486
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,115044
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,65486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,353982
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,108849
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,146902
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,1327,312389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,159292
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,517699
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,240707
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,150442
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,353982
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,142035
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,253097
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,265486
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,274336
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,131858
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,175221
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,288495
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,190265
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,315929
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,184070
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,161504
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,344690
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,107079
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,279203
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,261061
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1088,415929
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,150442
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,367256
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,449557
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,364159
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,398230
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,358407
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,254867
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,154867
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,246017
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,230088
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,206637
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,282300
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,126548
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,38053
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,172566
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,181415
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,211504
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,396460
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,203646
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,141150
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,61061
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,225663
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,376106
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,320353
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,224336
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,169911
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,360176
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,361061
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,353982
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,212389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,203539
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,200884
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,277,95221
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,172566
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,215044
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,292035
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,157522
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,123451
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,327433
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,245575
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,253982
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,323389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,172566
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,72123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,143362
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,222123
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,116814
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,323008
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,223893
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,239823
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,349557
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,278761
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,250000
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,255752
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,256637
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,300884
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,91150
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,131415
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,168141
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,330088
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,143238
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,322123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,91592
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,287610
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,225663
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,296460
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,406194
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,408849
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,106194
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,141592
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,340707
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,117699
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,154424
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,150442
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,243362
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,300884
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,174336
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,210619
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,147787
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,161946
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,64601
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,98761
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,95132
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,324778
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,498,61946
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,119469
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,201672
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,83185
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,63716
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,302654
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,187610
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,371681
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,60176
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,371681
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,323893
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,97345
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,55752
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,292035
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,190265
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,270796
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,212389
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,181415
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,281592
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,465486
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,262831
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,150442
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,415929
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,318584
